guide,subject,grade,mj,im
"복소수의 뜻과 성질을 설명하고, 사칙연산을 수행할 수 있다.",공통수학1,10,방정식과 부등식,none
"이차방정식의 실근과 허근을 이해하고, 판별식을 이용하여 이차방정식의 근을 판별할 수 있다.",공통수학1,10,방정식과 부등식,none
이차방정식의 근과 계수의 관계를 설명할 수 있다. ,공통수학1,10,방정식과 부등식,none
이차방정식과 이차함수를 연결하여 그 관계를 설명할 수 있다.,공통수학1,10,방정식과 부등식,none
이차함수의 그래프와 직선의 위치 관계를 판단할 수 있다.,공통수학1,10,방정식과 부등식,none
"이차함수의 최대, 최소를 탐구하고, 이를 실생활과 연결하여 유용성을 인식할 수 있다. ",공통수학1,10,방정식과 부등식,none
간단한 삼차방정식과 사차방정식을 풀 수 있다.,공통수학1,10,방정식과 부등식,none
미지수가 2개인 연립이차방정식을 풀 수 있다. ,공통수학1,10,방정식과 부등식,none
미지수가 1개인 연립일차부등식을 풀 수 있다. ,공통수학1,10,방정식과 부등식,none
절댓값을 포함한 일차부등식을 풀 수 있다. ,공통수학1,10,방정식과 부등식,none
"이차부등식과 이차함수를 연결하여 그 관계를 설명하고, 이차부등식과 연립이차부등식을 풀 수 있다.",공통수학1,10,방정식과 부등식,none
"이차방정식은 계수가 실수인 경우만 다루고, 이차방정식은 복소수 범위에서 항상 근을 갖는다는 것을 이해하게 한다.",공통수학1,10,방정식과 부등식,none
"이차함수의 최대, 최소는 제한된 범위에서만 다룬다. ",공통수학1,10,방정식과 부등식,none
"삼차방정식과 사차방정식은 계수가 실수인 경우만 다루고, 인수분해 공식이나 인수정리, 조립제법을 이용하여 풀 수 있는 경우만을 다룬다. ",공통수학1,10,방정식과 부등식,none
"미지수가 2개인 연립이차방정식은 일차식과 이차식이 각각 한 개씩 주어진 경우, 두 이차식 중 한 이차식이 간단히 인수분해 되는 경우만 다룬다. ",공통수학1,10,방정식과 부등식,none
"‘방정식과 부등식’ 영역에서는 용어와 기호로 ‘허수단위, 복소수, 실수부분, 허수부분, 허수, 켤레복소수, 실근, 허근, 판별식, 연립부등식,$i$, $a+bi$, $\overline{a + bi}$’를 다룬다. ",공통수학1,10,방정식과 부등식,none
"복소수의 성질과 사칙연산은 중학교에서 학습한 실수의 성질과 사칙연산과 연계하여 이해하게 하고, 나눗셈은 켤레복소수를 이용하여 계산하게 한다.",공통수학1,10,방정식과 부등식,none
이차방정식의 근과 계수의 관계를 활용하거나 판별식을 활용하는 지나치게 복잡한 방정식과 부등식 문제는 다루지 않는다. ,공통수학1,10,방정식과 부등식,none
